x,cos
-6.283185,0.9999999437
-5.497787,0.7071064696
-4.712389,0.0000000000
-3.926991,-0.7071064696
-3.141593,-0.9999999437
-2.356194,-0.7071070682
-1.570796,-0.0000007728
-0.785398,0.7071070682
0.000000,0.9999999437
0.785398,0.7071064696
1.570796,0.0000000000
2.356194,-0.7071064696
3.141593,-0.9999999437
3.926991,-0.7071070682
4.712389,0.0000007728
5.497787,0.7071070682
6.283185,0.9999999437
